Carpet Area,BHK,House Type,Furnishing,Address,Price
1299 sqft,3,Apartment,Semi-Furnished,"Radhe Shyam Residency, Gotri Vadodara","₹
39 Lac"
1200 sqft,2,Apartment,Semi-Furnished,"Shubham Vista, Vasna Bhayli Main Road Vadodara","₹
32.5 Lac"
720 sqft,2,Apartment,Semi-Furnished,Karelibagh Vadodara,"₹
32 Lac"
1300 sqft,3,Apartment,Furnished,urmi char rasta Vadodara,"₹
78 Lac"
2635 sqft,4,Apartment,Unfurnished,"Darshanam Splendora 2, Vasna Bhayli Main Road Vadodara","₹
1.40 Cr"
1825 sqft,4,Apartment,Furnished,"Nautilus, Vasna Road Vadodara","₹
1.50 Cr"
950 sqft,2,Apartment,Unfurnished,Subhanpura Vadodara,"₹
31 Lac"
1050 sqft,3,House,Furnished,Vasna Road Vadodara,"₹
77 Lac"
750 sqft,2,Apartment,Unfurnished,"Park Paradise, Billa bong school Vadodara","₹
40 Lac"
1200 sqft,3,House,Unfurnished,Bakrol Vadodara,"₹
40 Lac"
1550 sqft,3,Apartment,Semi-Furnished,"Kanha City, Ajwa Road Vadodara","₹
35 Lac"
1230 sqft,3,Apartment,Unfurnished,New Alkapuri Vadodara,"₹
48 Lac"
2150 sqft,4,Villa,Unfurnished,Bill Vadodara,"₹
1.20 Cr"
1137 sqft,3,Apartment,Furnished,Karelibagh Vadodara,"₹
80 Lac"
1300 sqft,3,Villa,Furnished,Chapad Vadodara,"₹
1.10 Cr"
3000 sqft,4,Apartment,Unfurnished,Vasna Bhayli Main Road Vadodara,"₹
2.25 Cr"
3000 sqft,5,Villa,Furnished,Gotri Vadodara,"₹
3.30 Cr"
2000 sqft,3,Villa,Semi-Furnished,Gotri Road Gotri Vadodara,"₹
90 Lac"
1800 sqft,4,Villa,Unfurnished,"Vicenza Vanakkam, Kalali Vadodara","₹
1.70 Cr"
2500 sqft,3,Villa,Unfurnished,Gotri Road Gotri Vadodara,"₹
3.50 Cr"
1600 sqft,3,Apartment,Furnished,"Alembic Samsara Apartment, Chhani Vadodara","₹
95 Lac"
1150 sqft,3,Apartment,Semi-Furnished,"Skyline Synnove, Vasna Road Vadodara","₹
61 Lac"
1850 sqft,4,Apartment,Unfurnished,Bhayli Vadodara,"₹
1.50 Cr"
1200 sqft,4,Villa,Furnished,"Aadhya Aries, Vasna Bhayli Main Road Vadodara","₹
10.10 Cr"
735 sqft,2,Apartment,Unfurnished,"Pacific Blue, Gotri Vadodara","₹
34 Lac"
1150 sqft,3,Apartment,Furnished,New Sama Road Vadodara,"₹
65 Lac"
1200 sqft,3,Apartment,Semi-Furnished,"ISCON Habitat, Gotri Vadodara","₹
61 Lac"
1640 sqft,3,Apartment,Unfurnished,"Iscon Heights, Gotri Vadodara","₹
85 Lac"
2000 sqft,4,Villa,Furnished,Gotri Road Gotri Vadodara,"₹
3.50 Cr"
1325 sqft,2,Apartment,Semi-Furnished,"Suncity Paradise, Manjalpur Vadodara","₹
34 Lac"
1550 sqft,2,N/A,Furnished,"Makhija Royal Plaza, Vemali Vadodara","₹
48 Lac"
